prov,year,covid,location,region,prov_istat,log_buy_min,log_buy_max,log_buy_avg,population,reg_age_avg,over65,log_median_income,dwellings,prov_immigration,prov_emigration,prov_net_movements,log_real_gdp,log_nominal_gdp,unemployment_prov,ratio_hotel_beds,ratio_hotel_mun,ratio_str_beds,ratio_str_mun,ratio_str_mun_beds,ratio_arrivals,ratio_arrivals_foreigners,tourism_score,log_tour_employed,log_population
SP,2024,1,NW,Liguria,011,7.131806110828436,7.496310262291535,7.314058186559985,2536367.0,48.53274233879738,0.2597565985781445,10.004860957543407,1543950.0,54.91283042843394,33.93147151721305,0.2790792520773933,14.352490699316045,14.577531396238825,5.2,28.280885552167806,3.018600233279497,30.403198026199142,0.4744326510388497,2.5592546369634617,437.0694217944608,278.84516060715424,0.7065740481543991,14.657415865352215,14.746243300157218
SR,2014,0,I,Sicilia,089,6.346825647043262,6.667083892911411,6.506954769977337,4021924.0,41.6088795814772,0.19023157390657078,9.401498677080523,2419202.0,25.775519038213673,24.91840539308753,0.007124257104735983,14.253499052044917,14.29871461443681,25.3,45.05422231824518,1.8860724695374442,3.8400176156159023,0.01859634914288793,0.15320756333647537,59.73919133454351,22.675911843848386,-0.18691650519805553,14.501416080901258,15.207270953064596
SR,2015,0,I,Sicilia,089,6.339096070472579,6.659575405610695,6.499335738041637,4320381.0,42.62135095403836,0.2032806754613541,9.408058734422253,2589789.0,24.63758257429094,23.79668850038016,0.0069739891363212675,14.253485175775596,14.307685758791632,25.7,44.64193706303424,1.800827142678393,4.115557878177442,0.017500691592140433,0.1449620502763719,59.764174743626334,22.909210784076052,-0.19278555077562118,14.51600418716716,15.278854150775835
SR,2016,0,I,Sicilia,089,6.34002994700282,6.658707588338244,6.499368767670532,4298545.0,42.74720391116313,0.20844158497539708,9.411065438077136,2589789.0,24.526932145392568,24.841617312541,-0.002621152951927776,14.262302861817256,14.324300731606444,24.0,48.68573394958045,1.9898309744027391,7.246739309697511,0.030834890089699647,0.23066736766551615,58.829187388580124,22.61456586154356,-0.1304627715890959,14.57109013709187,15.273787151310014
SR,2017,0,I,Sicilia,089,6.335482539015166,6.656903351044328,6.496192945029747,4276293.0,42.69233994157196,0.20769644867492132,9.429742567664986,2589789.0,26.82435919174386,27.846298528303024,-0.008523341471967351,14.274589284506764,14.348991618246792,22.0,47.09642124622679,1.988824405450068,8.59264127273687,0.0363077569539796,0.2672736364543049,71.12663880571537,28.87292059166078,-0.05691669046978976,14.615952632066215,15.268597070762711
SR,2018,0,I,Sicilia,089,6.328719644873069,6.655745284959678,6.492232464916373,4243416.0,43.77377781654883,0.21846025858873333,9.436898652145588,2589789.0,25.5546740514208,28.713046639763313,-0.026652264882345688,14.290499049859632,14.371974526989852,22.2,46.58851557591803,2.0335225473813665,8.48881873617354,0.03960846643420218,0.2967264908033456,65.5158835153766,29.43413311955109,-0.06173462500723787,14.609780537731918,15.260879163215387
SR,2019,0,I,Sicilia,089,6.328696495979659,6.653691005711816,6.4911937508457385,4215434.0,43.338953058870395,0.2310534972816142,9.455139052703327,2589789.0,27.23320379952779,29.070214069732373,-0.015694066900710586,14.298731536878892,14.390855927691586,24.1,44.91753596880725,2.0115397475807217,8.626772893422071,0.046224852935848736,0.3429651177610313,66.09656860757521,31.25855632423859,-0.0635295659710765,14.631583527526258,15.25426310971655
SR,2020,1,I,Sicilia,089,6.3241538024989605,6.651986122227881,6.4880699623634195,4195085.0,43.75610535814634,0.21987776925390742,9.476752128165296,2589789.0,27.8755913459155,33.03066645783138,-0.044577658628940586,14.303013979455951,14.405554007743989,23.8,44.74717085427983,2.0102295214766803,8.783081608873053,0.04728354054794023,0.34550641060620113,25.267021779953396,4.458195193968692,-0.1741993094950734,14.491113229758245,15.249424159895092
SR,2021,1,I,Sicilia,089,6.302935867484469,6.662682619014766,6.482809243249617,4159029.0,43.97324815956593,0.23138952884351688,9.480295723552416,2589789.0,24.530930002064018,26.979524272639438,-0.02150663987614087,14.210150370913526,14.328341310116052,21.4,44.80843574964288,2.0530071221583763,9.060882496930175,0.04864444468509945,0.3535766627484555,32.324104129600435,8.133031784402759,-0.09067351160080894,14.452257213884272,15.240792191530746
SR,2022,1,I,Sicilia,089,6.293722834375377,6.664824184687948,6.479273509531661,4158908.0,44.89178061665652,0.23388719420689108,9.525439123062547,2589789.0,28.91715046918661,27.026636295750794,0.016625179123554747,14.295695409344063,14.426637919319788,14.8,43.80467230681796,2.1457667756645065,10.058192442837264,0.07608721566337155,0.5096972014875027,63.67351553917251,25.777968310843324,0.03186946339870614,14.58891380804988,15.24076309777829
SR,2023,1,I,Sicilia,089,6.297659494500968,6.6677849048687765,6.482722199684872,4150949.0,44.196541622216394,0.2302432724948797,9.587906239688733,2589789.0,33.94253944359047,30.026838148556045,0.034720386703966315,14.342781042569822,14.507693573866826,16.3,42.54874218251504,2.1430843097938848,10.726351370014143,0.09648351654113958,0.6106475596652404,64.21715536443321,29.833157862434927,0.06951196407040809,14.645884731497905,15.238847540763603
