prov,year,covid,location,region,prov_istat,log_buy_min,log_buy_max,log_buy_avg,population,reg_age_avg,over65,log_median_income,dwellings,prov_immigration,prov_emigration,prov_net_movements,log_real_gdp,log_nominal_gdp,unemployment_prov,ratio_hotel_beds,ratio_hotel_mun,ratio_str_beds,ratio_str_mun,ratio_str_mun_beds,ratio_arrivals,ratio_arrivals_foreigners,tourism_score,log_tour_employed,log_population,growth_log_buy_min,growth_log_buy_max,growth_log_buy_avg,growth_log_nominal_gdp,growth_log_median_income,growth_log_population
FG,2019,0,S,Puglia,071,6.6464097154195905,6.953028999167551,6.79971935729357,3169332.0,44.44889743063807,0.22464109637209043,9.352513001097456,1711339.0,45.123866384897205,54.96278674607647,-0.11743007290175281,14.298731536878893,14.390855927691584,11.8,31.112327393138766,8.946880573739225,14.191556943631536,0.1584797501733107,3.5899851029938605,331.6368878238885,70.02030117786322,0.2881865358612415,14.631583527526258,14.969031398095664,-0.004153036714932945,-0.0005120415400927669,-0.0023325391275141882,0.01888140070173172,0.02263498370575867,-0.007021570757721918
FG,2020,1,S,Puglia,071,6.625153788284698,6.933619946376135,6.779386867330417,3148402.0,44.705911231216014,0.23357483834594472,9.372127761071507,1711339.0,47.07583522894277,65.47892644617318,-0.22105918726661394,14.303013979455951,14.405554007743989,10.3,30.5174085236348,8.886503334009085,14.813621294889792,0.15758584884162774,3.5691524818529703,237.69270026754535,24.96031810658225,0.21741388264479347,14.491113229758245,14.96240558049353,-0.02125592713489244,-0.019409052791416137,-0.0203324899631534,0.014698080052404805,0.0196147599740506,-0.006625817602134987
FG,2021,1,S,Puglia,071,6.610245241281621,6.918388932624713,6.764317086953167,3124823.0,44.624017630258514,0.2253185443990905,9.37486897931726,1711339.0,42.54546983078871,53.12585640712958,-0.12824349252457518,14.210150370913528,14.328341310116052,10.0,30.489015066946255,9.33234457557327,15.063807035650264,0.16737343802924248,3.811995807743792,311.73432252802127,44.876506185412126,0.26674378815751504,14.452257213884272,14.954888199548533,-0.014908547003076755,-0.015231013751422218,-0.015069780377250375,-0.07721269762793703,0.0027412182457524636,-0.007517380944996432
FG,2022,1,S,Puglia,071,6.613275387721233,6.918081320523211,6.765678354122222,3109879.0,46.08467547717161,0.23254114580501445,9.423615809779115,1711339.0,56.124028571038245,58.45082889778608,-0.02825012480540198,14.295695409344063,14.426637919319786,9.3,29.317930428275233,8.953874886703236,23.663338271247333,0.3412606744796369,4.799544972927229,350.0347561123156,73.84465939783743,0.41239709604222813,14.588913808049881,14.950094376646119,0.003030146439611414,-0.0003076121015022082,0.001361267169055047,0.09829660920373406,0.04874683046185524,-0.0047938229024140355
FG,2023,1,S,Puglia,071,6.616636159289528,6.921026124430034,6.768831141859781,3092810.0,46.38030661700991,0.2520650094958447,9.482079275845585,1711339.0,59.245379628348175,66.69940250052201,-0.09077381668215405,14.342781042569822,14.507693573866824,8.3,29.02675726321812,9.233558642558418,23.776782541718337,0.29216938613182786,5.048257694258719,361.76834683852735,85.41816048724056,0.45671508171765596,14.645884731497906,14.944590620747066,0.0033607715682952843,0.002944803906823168,0.0031527877375596702,0.081055654547038,0.05846346606647046,-0.00550375589905272
FG,2024,1,S,Puglia,071,6.620270666556977,6.931424525050476,6.775847595803726,3079806.0,45.77932370301236,0.2504442642718165,9.545174080505934,1711339.0,56.63511807151282,62.67479212866671,-0.07393037924437863,14.352490699316045,14.577531396238827,5.6,27.672873397509736,9.108316655091658,25.89920249514309,0.3277731885252939,5.319361315103003,374.4785887153113,94.3920440439046,0.48427169966167327,14.657415865352217,14.940377165953006,0.003634507267449294,0.010398400620442061,0.007016453943944789,0.06983782237200309,0.06309480466034856,-0.004213454794060212
FI,2015,0,C,Toscana,048,7.426120479717215,7.776651400692265,7.60138594020474,9601148.0,46.03271935995887,0.2557438779597369,9.80449092774778,4933305.0,122.89778206656396,71.68874801386644,0.46126984493160594,14.253485175775596,14.307685758791632,7.7,37.36120228779063,2.485435479691424,23.112523887668136,0.22598188427612162,1.5378076758510628,266.20805690542545,175.69678248932308,0.7498115729194298,14.51600418716716,16.07739323262188,-0.05371910397964452,-0.044898197864203127,-0.04930865092192338,0.008971144354822158,0.015512072797788434,-0.009009563623866512
FI,2016,0,C,Toscana,048,7.399132401229406,7.747091592529538,7.573111996879472,9560156.0,45.14877822884859,0.2249447439070771,9.821397166516268,4912372.0,120.97306038281415,68.97999414137782,0.47098496548225827,14.262302861817254,14.324300731606444,8.0,36.193002154405384,2.4831103844973477,22.301284532237077,0.2274387263169623,1.547139738300569,265.96121717087703,173.88801734088725,0.7536623479769301,14.57109013709187,16.07311460288608,-0.026988078487809375,-0.02955980816272774,-0.028273943325268114,0.01661497281481239,0.01690623876848818,-0.004278629735800621
FI,2017,0,C,Toscana,048,7.372082319160935,7.71633372313804,7.544208021149488,9529479.0,45.768940583026804,0.23082277950180324,9.832267172816971,4893575.0,127.09779336986614,74.64011502527183,0.46775738942436007,14.274589284506764,14.348991618246792,6.8,34.991196208581236,2.4586580383344088,23.12371497525562,0.23196793694931747,1.5571385423200825,273.24255287946477,178.16574387598175,0.758856875543109,14.615952632066215,16.06990060467111,-0.02705008206847115,-0.030757869391497827,-0.028903975729984488,0.024690886640348353,0.010870006300702784,-0.0032139982149708146
FI,2018,0,C,Toscana,048,7.348602358115571,7.693483266151511,7.521042812133541,9508490.0,46.637262861822585,0.23133104846677896,9.83358901919402,4900100.0,115.61403161425385,73.50325999862342,0.3743745574933847,14.290499049859632,14.371974526989852,5.8,35.11504347913834,2.4592057434795613,22.628616590889237,0.23995591751699435,1.5919870158767209,264.90930371326544,172.71665498954818,0.7545034733697872,14.609780537731918,16.067695641683322,-0.023479961045364206,-0.022850456986528656,-0.02316520901594643,0.022982908743060193,0.0013218463770492406,-0.002204962987786274
